Type,Cons_per_e,Itinerary,Avg_Slope,Shape_Leng
Main Road,Gaius Flaminius Nepos (220-219 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Flaminia",3.359779735,58361.71952
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Flaminia Nova",4.856474469,51398.6489
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Flaminia Nova",2.136794877,12165.596
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Cassia",3.429844233,7809.297798
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Cassia",2.808411363,3020.389274
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Cassia",2.755326022,17069.3573
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Cassia",2.596415117,74126.4544
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Cassia",4.656634337,33789.4896
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Cassia",1.447066683,74205.02432
Main Road,Gaius Aurelius Cotta (241 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aurelia",3.923123578,2133.946721
Main Road,Gaius Aurelius Cotta (241 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aurelia",1.221273485,16814.89902
Main Road,Gaius Aurelius Cotta (241 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aurelia",1.278048589,3308.535059
Main Road,Gaius Aurelius Cotta (241 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aurelia",2.336669031,29061.52261
Main Road,Gaius Aurelius Cotta (241 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aurelia",1.330849643,56741.21278
Main Road,Gaius Aurelius Cotta (241 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aurelia",1.345239756,16273.61791
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Latina",2.016933982,14726.52586
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Latina",4.163336586,4473.907967
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini, Via Latina",3.077458291,1132.921389
Secondary Road,,,4.575824875,109411.8271
Secondary Road,,,5.836168937,12613.99018
Secondary Road,,,12.68694242,408.3499371
Secondary Road,,,9.090130142,48303.04322
Secondary Road,,,0.832359252,457.2170809
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",0.982281513,2589.7966
Main Road,,Itinerarium Antonini,0.986041637,13770.09679
Main Road,,Itinerarium Antonini,0.963411389,21458.19526
Main Road,,Itinerarium Antonini,1.679715102,2408.53471
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",2.364455306,43556.26072
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",0.929504878,11446.5635
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.02560956,14913.71764
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",2.279665223,59626.55183
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.042065386,50043.99335
