site_type,culture_type,lat,lon,pres_charred,pres_waterlogged,pres_mineralised
Urban,Goth,45.53750758,10.23089652,1,0,0
Urban,Roman,45.54056461,10.22838282,1,0,0
Urban,Goth,45.54056461,10.22838282,1,0,0
Urban,Roman,44.6448184,10.92823246,1,0,0
Rural,Early Medieval,44.63365858,10.90721306,0,1,0
Urban,Late Roman,44.64370054,10.93169928,0,1,0
"Rural site, villa",Late Roman,45.87410803,10.88654459,0,0,0
"Rural site, villa",Late Roman,45.62031311,9.798266727,1,0,0
"Rural site, villa",Roman,45.61031712,9.803402572,1,0,0
Urban,Late Roman,44.50819048,11.08257757,0,0,0
Necropolis,Roman,46.78644859,11.90578502,1,0,0
Rural,Late Roman,44.33332312,9.929319494,1,0,0
Urban,Late Roman,43.40398425,10.85949845,1,0,1
Rural,Early Medieval,43.39675168,10.90532215,0,0,1
Urban,Late Roman,41.400097,15.99729273,1,0,1
Urban,Late Roman,41.400097,15.99729273,1,0,1
Urban,Early Medieval,41.39971574,15.99736645,1,0,1
Rural,Roman,45.74946331,9.907844656,1,0,0
"Rural site, villa",Late Roman,44.51343035,10.78591738,0,0,0
Rural,Roman,42.95620256,11.408298,1,0,0
Urban,Late Roman,45.9763529,12.2882577,1,0,0
Rural,Roman,40.83289782,16.27455599,1,0,0
Rural,Roman,40.83289782,16.27455599,1,0,0
Castrum,Early Medieval,44.31064157,7.647035828,1,0,0
Urban,Late Roman,40.35452509,18.17231068,1,0,0
Urban,Late Roman,40.35094467,18.17127218,1,0,0
Urban,Roman,45.76475,13.3346,1,1,1
Urban,Late Roman,45.76475,13.3346,1,1,1
Urban,Late Roman,45.76475,13.3346,1,1,1
"Rural site, villa",Roman,42.43086425,11.32708923,1,0,0
Rural,Roman,46.73325291,12.28249694,1,0,0
Rural,Late Roman,45.4694851,10.538694,1,0,0
Urban,Late Roman,45.43117279,9.508719073,1,0,1
Castrum,Goth,45.83092616,9.369320318,1,0,0
Castrum,Lombard,45.86642943,10.91672091,1,0,0
Rural,Early Medieval,45.12215893,8.797278548,1,0,0
Rural,Goth,43.94790169,12.46892645,1,1,0
Urban,Medieval,44.80082987,10.32650938,0,1,0
Urban,Early Medieval,43.79132093,7.602565423,1,0,0
Castrum,Byzantine,44.19479733,8.321532589,1,0,0
Urban,Early Medieval,44.06450202,10.01609536,1,0,0
Rural,Early Medieval,44.39775376,12.21703593,1,0,0
Rural,Early Medieval,44.39775376,12.21703593,1,0,0
Rural,Medieval,45.17845974,11.05764016,1,1,1
Urban,Medieval,44.17590207,8.329968466,1,1,0
Urban,Early Medieval,46.17100687,10.07003228,1,0,0
Urban,Early Medieval,45.76843522,13.36322801,1,0,1
Urban,Early Medieval,45.91737413,10.82128919,1,0,0
"Rural site, villa",Early Medieval,45.49350727,10.6076023,1,0,0
Rural,Early Medieval,44.65912805,10.96061888,1,0,0
Urban,Medieval,42.07066561,12.25864575,1,0,0
Urban,Early Medieval,41.80352729,14.81559846,1,0,0
"Rural site, villa",Late Roman,40.73911711,15.66990214,1,0,0
"Rural site, villa",Late Roman,40.73911711,15.66990214,1,0,0
Urban,Lombard,45.54030058,10.22654141,1,0,1
Urban,Goth,45.53750758,10.23089652,1,0,0
Urban,Goth,45.54056461,10.22838282,1,0,0
"Religious, monastery",Lombard,45.53984809,10.22858106,1,0,0
Urban,Lombard,45.54040837,10.22968803,1,0,0
Necropolis,Byzantine,44.60800742,10.8730723,1,0,0
Rural,Lombard,43.14567502,10.85687608,1,0,0
Rural,Frankish,43.14567502,10.85687608,1,0,0
Castle,Frankish,43.04839768,10.89185659,1,0,0
Rural,Early Medieval,44.63365858,10.90721306,0,1,0
"Rural site, villa",Late Roman,45.87410803,10.88654459,0,0,0
"Rural site, villa",Roman,45.61031712,9.803402572,1,0,0
Urban,Late Roman,44.50819048,11.08257757,0,0,0
Rural,Medieval,45.32314756,11.79336351,1,0,1
Rural,Early Medieval,43.39675168,10.90532215,0,0,1
Urban,Byzantine,42.01920241,11.95804692,1,0,0
Urban,Early Medieval,41.400097,15.99729273,1,0,1
Urban,Early Medieval,41.400097,15.99729273,1,0,1
Urban,Early Medieval,41.39971574,15.99736645,1,0,1
Urban,Early Medieval,41.39971574,15.99736645,1,0,1
Urban,Early Medieval,41.39971574,15.99736645,1,0,1
"Rural site, villa",Lombard,41.22830663,15.56000147,1,0,0
"Rural site, villa",Lombard,41.22830663,15.56000147,1,0,0
Rural,Early Medieval,44.63471885,10.87106808,1,1,0
Rural,Lombard,43.12052309,11.07998943,1,0,0
Rural,Frankish,43.12052309,11.07998943,1,0,0
Castle,Medieval,43.12052309,11.07998943,1,0,0
"Rural site, villa",Late Roman,44.51343035,10.78591738,0,0,0
Urban,Medieval,41.5566923,14.1119653,1,0,0
Castrum,Early Medieval,44.31064157,7.647035828,1,0,0
"Religious, monastery",Early Medieval,41.64988907,14.08763073,1,0,0
Rural,Byzantine,40.03794945,18.23607367,0,1,0
Rural,Byzantine,40.20095884,18.26914046,0,1,0
Rural,Byzantine,40.20095884,18.26914046,0,1,0
"Rural site, villa",Lombard,41.22830663,15.56000147,1,0,0
"Rural site, villa",Lombard,41.22830663,15.56000147,1,0,0
Urban,Medieval,44.83446805,11.61812414,0,1,0
Castrum,Early Medieval,44.69180668,11.16231751,0,1,0
Urban,Medieval,45.19673508,8.304962374,1,0,0
Urban,Frankish,45.19673508,8.304962374,1,0,0
"Rural site, villa",Byzantine,41.68141382,13.11240705,1,0,0
Rural,Frankish,46.3919487,10.35510661,1,0,0
Urban,Frankish,45.53666702,9.9288726,1,0,0
Rural,Early Medieval,45.08501597,7.574410173,1,0,0
Rural,Early Medieval,46.73264513,12.28291163,1,0,0
Rural,Early Medieval,46.73325291,12.28249694,1,0,0
Castrum,Byzantine,40.10713537,16.548547,1,0,0
Urban,Byzantine,40.49849876,17.64220178,1,0,0
Urban,Byzantine,40.50739166,40.50739166,1,0,0
Urban,Byzantine,40.50739166,40.50739166,1,0,0
Urban,Medieval,44.80082987,10.32650938,0,1,0
Rural,Medieval,45.17845974,11.05764016,1,1,1
Urban,Medieval,44.17590207,8.329968466,1,1,0
Religious,Medieval,44.11328115,9.960947974,1,0,0
Urban,Medieval,42.07066561,12.25864575,1,0,0
Castle,Frankish,43.04839768,10.89185659,1,0,0
Rural,Medieval,45.32314756,11.79336351,1,0,1
Rural,Medieval,45.32314756,11.79336351,1,0,1
Rural,Medieval,45.32314756,11.79336351,1,0,1
Urban,Medieval,46.17176927,9.873043999,1,0,0
Castle,Medieval,43.12052309,11.07998943,1,0,0
Urban,Medieval,41.5566923,14.1119653,1,0,0
Rural,Byzantine,40.20095884,18.26914046,0,1,0
Urban,Medieval,44.83446805,11.61812414,0,1,0
Castrum,Early Medieval,44.69180668,11.16231751,0,1,0
Urban,Medieval,45.19673508,8.304962374,1,0,0
Urban,Medieval,45.19673508,8.304962374,1,0,0
Rural,Medieval,41.68141382,13.11240705,1,0,0
Castrum,Norman,40.10713537,16.548547,1,0,0
